brand,model,model_year,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,years_used,capacity,horsepower,cylinder_count,mileage_per_year,mileage_sqrt,mileage_with_age,mileage_per_year_with_age,mileage_brand,mileage,brand_category,log_price,power_to_weight_ratio,brand_frequency,model_frequency,brand_target_enc,model_target_enc,mileage_per_year_sqrt,mileage_times_age,mileage_sqrt_times_age,horsepower_times_cylinder_count,capacity_mileage_interaction,age_squared,mileage_binned,log_mileage,log_capacity,capacity_binned,horsepower_binned,age_binned,trans_num,brand_enc
Dodge,Challenger SRT Hellcat,2020,Gasoline,Tiptronic,other,black,0,1,104500.0,4.0,6.2,797.0,8.0,687.5,52.44044240850758,35051.801242236026,8762.950310559007,88301.34444444445,2750,economy,11.556951919719207,128.54838709677418,89,5,29382.629213483146,72977.8,26.22022120425379,11000.0,11000.0,6376.0,325.130742932747,16.0,Low,7.919719760924575,1.9740810260220096,6.0,800.0,3.0,1.0,0.0
Porsche,Boxster Base,2013,Gasoline,Automatic,other,other,0,1,35500.0,11.0,2.7,265.0,6.0,3709.090909090909,201.9900987672416,90750.0506329114,8250.004602991945,43569.80099502488,40800,luxury,10.477316144080852,98.14814814814814,189,6,76482.62962962964,17774.166666666668,60.902306270706276,448800.0,448800.0,1590.0,545.3732666715523,121.0,Low,10.616461869895815,1.308332819650179,2.0,300.0,9.0,1.0,1.0
Porsche,Macan Base,2018,Gasoline,Tiptronic,other,black,1,1,49500.0,6.0,2.0,331.5158054711246,4.0,6133.0,191.8280480013285,51231.86349206349,8538.643915343915,43569.80099502488,36798,luxury,10.809748150372926,165.7579027355623,189,5,76482.62962962964,40900.0,78.31347265956222,220788.0,220788.0,1326.0632218844985,383.656096002657,36.0,Low,10.513225949874762,1.0986122886681098,2.0,300.0,3.0,1.0,1.0
Ford,F-250 XL,2021,Diesel,Automatic,white,gray,0,0,49883.0,3.0,6.7,331.5158054711246,8.0,25899.666666666668,278.74540354954735,28360.137142857144,9453.379047619048,72295.46113989638,77699,economy,10.817455589040636,49.47997096583949,373,4,34457.067024128686,35945.75,160.93373377470203,233097.0,233097.0,2652.126443768997,1867.5942037819673,9.0,Medium,11.260610536355738,2.0412203288596382,6.0,300.0,3.0,1.0,0.0
Ford,Mustang GT,2010,Gasoline,Automatic,red,black,1,1,14900.0,14.0,4.6,315.0,8.0,6250.0,295.8039891549808,103192.29,7370.877857142857,72295.46113989638,87500,economy,9.60918360377546,68.47826086956522,373,11,34457.067024128686,20690.454545454544,79.05694150420949,1225000.0,1225000.0,2520.0,1360.6983501129116,196.0,Medium,11.37940550085183,1.7227665977411035,4.0,300.0,15.0,1.0,0.0
Chevrolet,Suburban LT,2020,Gasoline,Automatic,black,black,0,1,38500.0,4.0,5.3,355.0,8.0,23250.0,304.9590136395381,35051.801242236026,8762.950310559007,71292.81506849315,93000,economy,10.55843949396453,66.9811320754717,287,9,36862.9094076655,33988.22222222222,152.47950681976906,372000.0,372000.0,2840.0,1616.282772289552,16.0,Medium,11.440365524765756,1.840549633397487,6.0,400.0,3.0,1.0,0.0
Mercedes-Benz,C-Class C 300 4MATIC,2018,Gasoline,Automatic,black,black,0,1,28251.0,6.0,2.0,331.5158054711246,4.0,6919.166666666667,203.75230060050856,51231.86349206349,8538.643915343915,55646.61587301587,41515,luxury,10.248919530528813,165.7579027355623,311,9,50615.3922829582,31677.11111111111,83.18152839823675,249090.0,249090.0,1326.0632218844985,407.5046012010171,36.0,Low,10.63383417408518,1.0986122886681098,2.0,300.0,3.0,1.0,1.0
RAM,1500 Classic Warlock,2019,Flex Fuel,Automatic,black,gray,1,0,33242.0,5.0,3.6,331.5158054711246,6.0,3800.0,137.84048752090223,45674.79797979798,9134.959595959595,54288.72527472527,19000,economy,10.411599497604437,92.08772374197906,91,2,43029.16483516483,32597.5,61.644140029689765,95000.0,95000.0,1989.0948328267477,496.22575507524806,25.0,Low,9.852246888342531,1.5260563034950492,4.0,300.0,3.0,1.0,0.0
Toyota,Sequoia SR5,2023,Hybrid,Automatic,green,other,1,1,76373.0,1.0,3.4,331.5158054711246,6.0,1539.0,39.23009049186607,5380.358407079646,5380.358407079646,85355.04020100503,1539,economy,11.24339760309849,97.50464866797783,196,5,30128.44387755102,25904.6,39.230090491866065,1539.0,1539.0,1989.0948328267477,133.38230767234464,1.0,Low,7.3395376954076745,1.4816045409242156,4.0,300.0,8.644137931034482,1.0,0.0
BMW,M5 Base,2018,Gasoline,Tiptronic,green,black,1,1,68000.0,6.0,4.4,600.0,8.0,5181.666666666667,176.32356620712957,51231.86349206349,8538.643915343915,57200.99733333333,31090,luxury,11.127277689932466,136.36363636363635,367,13,40750.226158038146,53953.769230769234,71.9837944725524,186540.0,186540.0,4800.0,775.8236913113702,36.0,Low,10.344673667218705,1.6863989535702288,4.0,600.0,3.0,1.0,1.0
